token_id,sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
1,0,la,il,DET,det,passeggiata,(ROOT (f3 (sn (DET La) (NOUN passeggiata) (spd (ADP di) (sn (DET un) (NOUN distratto) (PUNCT .)))))),,7.055331658
2,0,passeggiata,passeggiata,NOUN,root,ROOT,(ROOT (f3 (sn (DET La) (NOUN passeggiata) (spd (ADP di) (sn (DET un) (NOUN distratto) (PUNCT .)))))),,4.29094896
3,0,di,di,ADP,case,distratto,(ROOT (f3 (sn (DET La) (NOUN passeggiata) (spd (ADP di) (sn (DET un) (NOUN distratto) (PUNCT .)))))),,7.232814475
4,0,un,uno,DET,det,distratto,(ROOT (f3 (sn (DET La) (NOUN passeggiata) (spd (ADP di) (sn (DET un) (NOUN distratto) (PUNCT .)))))),,7.065833912
5,0,distratto,distratto,NOUN,nmod,passeggiata,(ROOT (f3 (sn (DET La) (NOUN passeggiata) (spd (ADP di) (sn (DET un) (NOUN distratto) (PUNCT .)))))),,3.747828499
6,1,mamma,mamma,NOUN,vocative,vado,"(ROOT (cp (fp (PUNCT -) (sn (NOUN Mamma)) (PUNCT ,)) (f (ibar (VERB vado)) (compin (sv2 (ADP a) (VERB fare) (compt (sn (DET una) (NOUN passeggiata) (PUNCT .))))))))",1.88 ± 1.27,5.66327005
7,1,vado,andare,VERB,root,ROOT,"(ROOT (cp (fp (PUNCT -) (sn (NOUN Mamma)) (PUNCT ,)) (f (ibar (VERB vado)) (compin (sv2 (ADP a) (VERB fare) (compt (sn (DET una) (NOUN passeggiata) (PUNCT .))))))))",4.20 ± 1.44,5.487325132
8,1,a,a,ADP,mark,fare,"(ROOT (cp (fp (PUNCT -) (sn (NOUN Mamma)) (PUNCT ,)) (f (ibar (VERB vado)) (compin (sv2 (ADP a) (VERB fare) (compt (sn (DET una) (NOUN passeggiata) (PUNCT .))))))))",,7.004335738
9,1,fare,fare,VERB,xcomp,vado,"(ROOT (cp (fp (PUNCT -) (sn (NOUN Mamma)) (PUNCT ,)) (f (ibar (VERB vado)) (compin (sv2 (ADP a) (VERB fare) (compt (sn (DET una) (NOUN passeggiata) (PUNCT .))))))))",4.40 ± 2.22,6.231286207
10,1,una,uno,DET,det,passeggiata,"(ROOT (cp (fp (PUNCT -) (sn (NOUN Mamma)) (PUNCT ,)) (f (ibar (VERB vado)) (compin (sv2 (ADP a) (VERB fare) (compt (sn (DET una) (NOUN passeggiata) (PUNCT .))))))))",,6.801817508
11,1,passeggiata,passeggiata,NOUN,obj,fare,"(ROOT (cp (fp (PUNCT -) (sn (NOUN Mamma)) (PUNCT ,)) (f (ibar (VERB vado)) (compin (sv2 (ADP a) (VERB fare) (compt (sn (DET una) (NOUN passeggiata) (PUNCT .))))))))",,4.29094896
12,2,va,valere,VERB,root,ROOT,"(ROOT (dirsp (PUNCT -) (fc (f (ibar (VERB Va')) (ADV pure) (fp (PUNCT ,) (sn (PROPN Giovanni)) (PUNCT ,))) (CCONJ ma) (f (ibar (VERB sta)) (PUNCT ') (compc (sa (ADJ attento)) (fs (SCONJ quando) (f3 (sv2 (VERB attraver) (compt (PRON si) (sn (DET la) (NOUN strada))))))))) (PUNCT .)))",,6.162363764
13,2,pure,pure,ADV,advmod,Va',"(ROOT (dirsp (PUNCT -) (fc (f (ibar (VERB Va')) (ADV pure) (fp (PUNCT ,) (sn (PROPN Giovanni)) (PUNCT ,))) (CCONJ ma) (f (ibar (VERB sta)) (PUNCT ') (compc (sa (ADJ attento)) (fs (SCONJ quando) (f3 (sv2 (VERB attraver) (compt (PRON si) (sn (DET la) (NOUN strada))))))))) (PUNCT .)))",,5.167341994
14,2,giovanni,Giovanni,PROPN,nsubj,Va',"(ROOT (dirsp (PUNCT -) (fc (f (ibar (VERB Va')) (ADV pure) (fp (PUNCT ,) (sn (PROPN Giovanni)) (PUNCT ,))) (CCONJ ma) (f (ibar (VERB sta)) (PUNCT ') (compc (sa (ADJ attento)) (fs (SCONJ quando) (f3 (sv2 (VERB attraver) (compt (PRON si) (sn (DET la) (NOUN strada))))))))) (PUNCT .)))",,3.408407174
15,2,ma,ma,CCONJ,cc,sta,"(ROOT (dirsp (PUNCT -) (fc (f (ibar (VERB Va')) (ADV pure) (fp (PUNCT ,) (sn (PROPN Giovanni)) (PUNCT ,))) (CCONJ ma) (f (ibar (VERB sta)) (PUNCT ') (compc (sa (ADJ attento)) (fs (SCONJ quando) (f3 (sv2 (VERB attraver) (compt (PRON si) (sn (DET la) (NOUN strada))))))))) (PUNCT .)))",,6.662005813
16,2,sta,stare,VERB,conj,Va',"(ROOT (dirsp (PUNCT -) (fc (f (ibar (VERB Va')) (ADV pure) (fp (PUNCT ,) (sn (PROPN Giovanni)) (PUNCT ,))) (CCONJ ma) (f (ibar (VERB sta)) (PUNCT ') (compc (sa (ADJ attento)) (fs (SCONJ quando) (f3 (sv2 (VERB attraver) (compt (PRON si) (sn (DET la) (NOUN strada))))))))) (PUNCT .)))",4.60 ± 2.35,6.089640186
17,2,attento,attento,ADJ,xcomp,sta,"(ROOT (dirsp (PUNCT -) (fc (f (ibar (VERB Va')) (ADV pure) (fp (PUNCT ,) (sn (PROPN Giovanni)) (PUNCT ,))) (CCONJ ma) (f (ibar (VERB sta)) (PUNCT ') (compc (sa (ADJ attento)) (fs (SCONJ quando) (f3 (sv2 (VERB attraver) (compt (PRON si) (sn (DET la) (NOUN strada))))))))) (PUNCT .)))",6.08 ± 1.87,4.897896906
18,2,quando,quando,SCONJ,mark,attraver,"(ROOT (dirsp (PUNCT -) (fc (f (ibar (VERB Va')) (ADV pure) (fp (PUNCT ,) (sn (PROPN Giovanni)) (PUNCT ,))) (CCONJ ma) (f (ibar (VERB sta)) (PUNCT ') (compc (sa (ADJ attento)) (fs (SCONJ quando) (f3 (sv2 (VERB attraver) (compt (PRON si) (sn (DET la) (NOUN strada))))))))) (PUNCT .)))",,6.212844009
19,2,attraver,attraverire,VERB,advcl,sta,"(ROOT (dirsp (PUNCT -) (fc (f (ibar (VERB Va')) (ADV pure) (fp (PUNCT ,) (sn (PROPN Giovanni)) (PUNCT ,))) (CCONJ ma) (f (ibar (VERB sta)) (PUNCT ') (compc (sa (ADJ attento)) (fs (SCONJ quando) (f3 (sv2 (VERB attraver) (compt (PRON si) (sn (DET la) (NOUN strada))))))))) (PUNCT .)))",,
20,2,si,si,PRON,expl,attraver,"(ROOT (dirsp (PUNCT -) (fc (f (ibar (VERB Va')) (ADV pure) (fp (PUNCT ,) (sn (PROPN Giovanni)) (PUNCT ,))) (CCONJ ma) (f (ibar (VERB sta)) (PUNCT ') (compc (sa (ADJ attento)) (fs (SCONJ quando) (f3 (sv2 (VERB attraver) (compt (PRON si) (sn (DET la) (NOUN strada))))))))) (PUNCT .)))",,6.553884221
