token_id,sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
1,0,il,il,DET,det,contadino,(ROOT (f3 (sn (DET Il) (NOUN contadino) (sa (ADJ astrologo))) (PUNCT .))),,7.039560886
2,0,contadino,contadino,NOUN,root,ROOT,(ROOT (f3 (sn (DET Il) (NOUN contadino) (sa (ADJ astrologo))) (PUNCT .))),,3.787520326
3,0,astrologo,astrologo,ADJ,amod,contadino,(ROOT (f3 (sn (DET Il) (NOUN contadino) (sa (ADJ astrologo))) (PUNCT .))),,2.502677091
4,1,un,uno,DET,det,Re,(ROOT (f (sn (DET Un) (NOUN Re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .)))),,7.065833912
5,1,re,re,NOUN,nsubj,perduto,(ROOT (f (sn (DET Un) (NOUN Re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .)))),4.24 ± 1.76,5.011715611
6,1,aveva,avere,AUX,aux,perduto,(ROOT (f (sn (DET Un) (NOUN Re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .)))),,5.632280537
7,1,perduto,perdere,VERB,root,ROOT,(ROOT (f (sn (DET Un) (NOUN Re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .)))),,4.078821718
8,1,un,uno,DET,det,anello,(ROOT (f (sn (DET Un) (NOUN Re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .)))),,7.065833912
9,1,anello,anello,NOUN,obj,perduto,(ROOT (f (sn (DET Un) (NOUN Re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .)))),,4.631517492
10,1,prezioso,prezioso,ADJ,amod,anello,(ROOT (f (sn (DET Un) (NOUN Re)) (ibar (AUX aveva) (VERB perduto)) (compt (sn (DET un) (NOUN anello) (sa (ADJ prezioso))) (PUNCT .)))),,4.02438909
11,2,cerca,cercare,VERB,root,ROOT,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))",4.72 ± 2.28,5.003535817
12,2,qua,qua,ADV,advmod,Cerca,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))",,5.522856403
13,2,cerca,cercare,VERB,conj,Cerca,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))",4.72 ± 2.28,5.003535817
14,2,là,là,ADV,advmod,cerca,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))",,
15,2,non,non,ADV,advmod,trova,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))",,7.259198169
16,2,si,si,PRON,expl,trova,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))",,6.553884221
17,2,trova,trovare,VERB,conj,Cerca,"(ROOT (fc (f (ibar (VERB Cerca)) (compt (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB cerca)) (compt (savv (ADV là)))) (PUNCT ,) (f (ibar (ADV non) (PRON si) (VERB trova) (PUNCT .)))))",4.24 ± 1.61,4.979657089
18,3,mise,mettere,VERB,root,ROOT,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))",4.28 ± 1.59,3.850364012
19,3,fuori,fuori,ADV,advmod,Mise,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))",,5.872607584
20,3,un,uno,DET,det,bando,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))",,7.065833912
21,3,bando,bando,NOUN,nsubj,Mise,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))",,3.120342156
22,3,che,che,PRON,nsubj,fa,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))",,7.250456545
23,3,se,se,SCONJ,mark,sa,"(ROOT (f (ibar (VERB Mise)) (compt (savv (ADV fuori)) (sn (DET un) (NOUN bando) (f2 (PRON che) (cp (fs (SCONJ se) (f (sn (DET un) (NOUN astrologo)) (ibar (PRON gli) (VERB sa)) (compt (sv2 (VERB dire) (compt (savv (ADV dov')) (VERB è)))))) (PUNCT ,) (f (ibar (PRON lo) (VERB fa)) (compt (sa (ADJ ricco)) (sp (ADP per) (sn (sq (DET tutta)) (DET la) (NOUN vita))))))))) (PUNCT .)))",,6.583110863
